country_id,tournament_id,tournament_name,tournament_url,tournament_stage_id,tournament_template_id,country_name
200,EP7iPuKj,MLS Next Pro,/football/usa/mls-next-pro/,nHV8rvj4,W4f7hWh9,USA
200,On9GjMe3,USL League One,/football/usa/usl-league-one/,lvwo7fJF,KhaoVzyl,USA
200,4fAXrIIk,USL League Two,/football/usa/usl-league-two/,SbqP1Pnf,21McUfjf,USA
200,tS1obWo2,NISA,/football/usa/nisa/,jHWbWOiQ,Imm0s3or,USA
200,hE9iTvZq,US Open Cup,/football/usa/us-open-cup/,0xuelZRq,8dUVq2Un,USA
200,Cx6v4nsm,USL Cup,/football/usa/usl-cup/,0zjEk3PG,z1qD87H7,USA
200,UoVi1Csk,Carolina Challenge Cup,/football/usa/carolina-challenge-cup/,t0T7B9V1,698tGI9q,USA
200,YTSKY0BM,NWSL Women,/football/usa/nwsl-women/,U9W7eHZ9,vBzAOR7R,USA
200,nDHBYbRO,USL Super League Women,/football/usa/usl-super-league-women/,lK2BiXid,WnHhmdP7,USA
200,63CfoNtA,NWSL Challenge Cup Women,/football/usa/nwsl-challenge-cup-women/,8fracw5c,Ew5oxysj,USA
205,QyHHDLce,Liga FUTVE,/football/venezuela/liga-futve/,IssbRpyK,bVfjs0E5,Venezuela
205,M3AQBaS7,Liga FUTVE 2,/football/venezuela/liga-futve-2/,MNmgItb6,Ec90yuCn,Venezuela
205,OS5tPn4K,Copa Venezuela,/football/venezuela/copa-venezuela/,dnBCzJvm,OxBWBWBd,Venezuela
205,2c7h0yQN,Super Cup,/football/venezuela/super-cup/,Y3zsviDE,OUe592bS,Venezuela
62,jmWZzX2n,Chance Liga,/football/czech-republic/chance-liga/,tGIvI38l,hleea1wH,Czech Republic
62,pnPrZAXb,ChNL,/football/czech-republic/chnl/,AwXWHfE5,AuYr0sOA,Czech Republic
62,MHoaXl2B,3. CFL - Group A,/football/czech-republic/3-cfl-group-a/,WhLuGYrI,xfLfCZcn,Czech Republic
62,dvzUWSWN,3. CFL - Group B,/football/czech-republic/3-cfl-group-b/,KYH6YFbn,WGKbBgDh,Czech Republic
62,84hG3X9M,3. CFL - Play Offs,/football/czech-republic/3-cfl-play-offs/,23CFqfAC,Y3PIMGiM,Czech Republic
62,SMQaR6fo,3. MSFL,/football/czech-republic/3-msfl/,hnGEWgTb,ppJOsZ7q,Czech Republic
62,UTz26Tso,MOL Cup,/football/czech-republic/mol-cup/,OOJfh71d,bmNStgNk,Czech Republic
62,E3EhZIDi,4. liga - Group A,/football/czech-republic/4-liga-group-a/,hWXVUXcB,GWJJY5V9,Czech Republic
62,vF7MYdr4,4. liga - Group B,/football/czech-republic/4-liga-group-b/,0dyvTBSN,OYSN90J0,Czech Republic
62,vaPwXzDG,4. liga - Group C,/football/czech-republic/4-liga-group-c/,pUCANkjo,Y5TaMKY6,Czech Republic
62,CCNoVEsT,4. liga - Group D,/football/czech-republic/4-liga-group-d/,6H6jpgrh,CdS3LvlD,Czech Republic
62,AiavRh5j,4. liga - Group E,/football/czech-republic/4-liga-group-e/,2q0arXC4,nw32pOQD,Czech Republic
62,QcUXldcc,4. liga - Group F,/football/czech-republic/4-liga-group-f/,vFMFtBsH,OjHjDFrt,Czech Republic
62,nDItmzS9,Jihocesky KP,/football/czech-republic/jihocesky-kp/,zsGOvkCT,lhrHDg25,Czech Republic
62,xjuJnEdM,Jihomoravsky KP,/football/czech-republic/jihomoravsky-kp/,4d6fZSZj,CGxhsgHb,Czech Republic
62,dzMkshKq,Karlovarsky KP,/football/czech-republic/karlovarsky-kp/,jwfmsugc,riyQBXWH,Czech Republic
62,UmKcuWld,Kralovehradecky KP,/football/czech-republic/kralovehradecky-kp/,b3ceuJN9,biP8WfXu,Czech Republic
62,G6Bg3Zt3,Liberecky KP,/football/czech-republic/liberecky-kp/,bmFCwchM,G4ZX9B1U,Czech Republic
62,OWE11DBF,Moravskoslezsky KP,/football/czech-republic/moravskoslezsky-kp/,fJ0rYzGq,O8qZui1H,Czech Republic
62,l4RIaitS,Olomoucky KP,/football/czech-republic/olomoucky-kp/,ELGqWEpd,fuSdtDW4,Czech Republic
62,bsDAeV3k,Pardubicky KP,/football/czech-republic/pardubicky-kp/,ppXwfIx3,xrOCVEnn,Czech Republic
62,ht6Jg9Y1,Plzensky KP,/football/czech-republic/plzensky-kp/,6aLnhd7F,WGXLCDHB,Czech Republic
62,lhHDHCQ8,Prazsky prebor,/football/czech-republic/prazsky-prebor/,dQJzYRL0,W6A70FXh,Czech Republic
62,MmU704As,Stredocesky KP,/football/czech-republic/stredocesky-kp/,UwIrW5jD,vyAX0Zna,Czech Republic
62,YVeObruf,Ustecky KP,/football/czech-republic/ustecky-kp/,l4Owf9rK,xEzUAinO,Czech Republic
62,fopXdM96,Vysocina KP,/football/czech-republic/vysocina-kp/,KnF9lm6s,bDYmrZ1h,Czech Republic
62,Igxkp0vJ,Zlinsky KP,/football/czech-republic/zlinsky-kp/,pKRQnRzf,xlk9uXoB,Czech Republic
62,xKrp83WP,U19 League,/football/czech-republic/u19-league/,WzQYp556,OORsaEb2,Czech Republic
62,2gNJwSIM,Tipsport liga,/football/czech-republic/tipsport-liga/,bclzM5Vr,lIEDEbyN,Czech Republic
62,vsY9bwOO,1. Liga Women,/football/czech-republic/1-liga-women/,nHcSfMJO,2TFFZoG3,Czech Republic
62,pGnDGb85,2. Liga Women,/football/czech-republic/2-liga-women/,tOzJ7a3U,rJI88zeh,Czech Republic
62,fL9NDKqf,Czech Cup Women,/football/czech-republic/czech-cup-women/,S6mGab35,YRnUGLMP,Czech Republic
63,GtQIjw86,Superliga,/football/denmark/superliga/,hWZgTrN6,O6W7GIaF,Denmark
63,O6TQlHxJ,1st Division,/football/denmark/1st-division/,nNphtM6C,xAzCFxFL,Denmark
63,8KULCKUP,2nd Division,/football/denmark/2nd-division/,zNuDoHrh,8OLvlKz0,Denmark
63,dlBD8bhm,3rd Division,/football/denmark/3rd-division/,lU3ptDCT,hfyXOnyB,Denmark
63,dYSU6xNa,Landspokal Cup,/football/denmark/landspokal-cup/,EJoHtsO9,trs3Hbp9,Denmark
63,2svXm8yo,A-Liga Women,/football/denmark/a-liga-women/,dtEkox0k,69z2Smeo,Denmark
63,dnnXQXGM,B-Liga Women,/football/denmark/b-liga-women/,46HcqGU1,QuuS43Ik,Denmark
63,Im9QBBTi,Danish Cup Women,/football/denmark/danish-cup-women/,OWNh7JM8,nqTBGxWH,Denmark
61,M1LNWYP7,Cyprus League,/football/cyprus/cyprus-league/,xSsVKTPc,EmZxlqvh,Cyprus
61,6FMIfxIE,Division 2,/football/cyprus/division-2/,EigQBPnp,CbXNfZvn,Cyprus
61,WQFnfGnR,Cyprus Cup,/football/cyprus/cyprus-cup/,8bpRHFz3,Y5csTDRo,Cyprus
61,pdOKhBR8,Super Cup,/football/cyprus/super-cup/,dvsxdsSg,8AYtm3gb,Cyprus
66,tj6g47Vs,LDF,/football/dominican-republic/ldf/,voebvs0C,WOHJMDoA,Dominican Republic
66,Asi2RZso,Copa de la LDF,/football/dominican-republic/copa-de-la-ldf/,YgPlcZk2,GxSljnw8,Dominican Republic
55,UuKB9TSG,Ligue 1,/football/dr-congo/ligue-1/,UyBrKd6E,2qYslbGL,DR Congo
68,trd6vSd3,Liga Pro,/football/ecuador/liga-pro/,x2nVXCWr,WWZFEdUR,Ecuador
68,G4pyv6RF,Serie B,/football/ecuador/serie-b/,OMhljChR,GQXEtvRu,Ecuador
68,SnCixpdS,Copa Ecuador,/football/ecuador/copa-ecuador/,nPcTpjGl,xW2jee62,Ecuador
68,CKmOWNJk,Super Cup,/football/ecuador/super-cup/,hM0yqUp1,Myr0XzjJ,Ecuador
69,8djnQlDc,Premier League,/football/egypt/premier-league/,rZZ01nd3,xbpjAGxq,Egypt
69,GMgfOSsA,Division 2 A,/football/egypt/division-2-a/,x6GTPrlB,lt1UhcxR,Egypt
69,tf6BM6CM,Egypt Cup,/football/egypt/egypt-cup/,phejwr34,OGamQz5m,Egypt
69,jXi3Ipzp,League Cup,/football/egypt/league-cup/,IkBFZa2T,S2t1kkXS,Egypt
69,pWpCGO4d,Super Cup,/football/egypt/super-cup/,z7inUwQj,bNZOACTk,Egypt
70,ltJ0y1Mb,Primera Division,/football/el-salvador/primera-division/,bJsPKlOM,xxxpBZl2,El Salvador
70,IJtdTElo,Copa Presidente,/football/el-salvador/copa-presidente/,Wrb4J4df,WOrWom1m,El Salvador
73,zTutK1l2,Meistriliiga,/football/estonia/meistriliiga/,p05v5B7K,hvTioR1s,Estonia
73,fgnyr5t9,Esiliiga,/football/estonia/esiliiga/,4pnBakVs,SGUUj41C,Estonia
73,jcI1VLQ9,Esiliiga B,/football/estonia/esiliiga-b/,4bost9L6,fJkiv6wg,Estonia
73,S6pqtqBL,Estonian Cup,/football/estonia/estonian-cup/,0IOSe7U6,jVtQk7gQ,Estonia
